customerid,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,loannumber,loanamount,totaldue,termdays,days_in_advance,due_day,approveddate,good_bad_flag
8a858e135cb22031015cbafc76964ebd,1973-10-10 00:00:00.000000,Savings,3.319219,6.5286039,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,1.0,5.0,2017-07-05 14:29:48,Good
8a858e275c7ea5ec015c82482d7c3996,1986-01-21 00:00:00.000000,Savings,3.3255983,7.1194033,Sterling Bank,Permanent,missing,1,10000.0,13000.0,30.0,-3.0,7.0,2017-07-10 21:21:46,Bad
8a858e5b5bd99460015bdc95cd485634,1987-04-01 00:00:00.000000,Savings,5.7460998,5.5631737,Fidelity Bank,Permanent,missing,3,10000.0,12000.0,20.0,-0.3333333333333333,15.0,2017-07-13 15:40:27,Good
8a858efd5ca70688015cabd1f1e94b55,1991-07-19 00:00:00.000000,Savings,3.3628497,6.6424853,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,-18.0,30.0,2017-07-26 21:03:17,Good
8a858ea05a859123015a8892914d15b7,1990-07-21 00:00:00.000000,Savings,3.365935,6.5648233,Access Bank,Permanent,missing,5,14000.0,17600.0,30.0,3.2,26.0,2017-07-23 21:44:43,Good
8a858f405d13c45f015d13dd93ec0c1c,1992-11-17 00:00:00.000000,Savings,3.2905898,6.6120747,EcoBank,Permanent,missing,1,10000.0,13000.0,30.0,14.0,4.0,2017-07-28 10:13:02,Good
8a858f2a5ce989dd015ce9fc24b1474b,1994-12-11 00:00:00.000000,Savings,3.3502377,7.1381618,FCMB,Permanent,missing,1,10000.0,11500.0,15.0,6.0,12.0,2017-07-06 18:25:57,Bad
8a858f3a5c10828d015c109746d20aee,1970-07-19 00:00:00.000000,Savings,5.768004,5.559055,Skye Bank,Permanent,missing,1,10000.0,13000.0,30.0,15.0,16.0,2017-07-18 12:55:38,Good
8a858fb4563228d201564fd7519f22a8,1994-06-03 00:00:00.000000,Other,3.3810932,6.608266,UBA,Student,Secondary,6,15000.0,17700.0,22.5,0.3333333333333333,22.5,2017-07-03 07:07:04,Good
8a858f955a61ad4e015a69ee1edd0d3d,1986-04-15 00:00:00.000000,Savings,3.357961,6.5125169,GT Bank,Permanent,missing,4,12500.0,15125.0,22.5,1.75,12.25,2017-07-18 09:50:12,Good
8a858ff25a6a19ee015a6abff5ed659c,1988-12-22 00:00:00.000000,Savings,7.5078362,9.0483723,EcoBank,Permanent,missing,3,10000.0,13000.0,30.0,-3.3333333333333335,19.333333333333332,2017-07-14 10:26:41,Good
8a858e6c5c88d145015c894de1a91c5c,1988-04-22 00:00:00.000000,Savings,3.363275,7.1455067,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,10.0,10.0,2017-07-01 09:55:54,Good
8a858eb45876dcc501587dae11f2283e,1989-03-07 00:00:00.000000,Savings,6.9744361,4.8113433,Access Bank,Permanent,missing,6,16666.666666666668,20058.333333333332,27.5,1.1666666666666667,17.166666666666668,2017-07-30 09:59:40,Bad
8a858f2f54e28d530154ecdd303004fa,1983-05-08 00:00:00.000000,Savings,3.4784832,6.4420013,Diamond Bank,Permanent,Graduate,2,10000.0,13000.0,30.0,13.0,25.5,2017-07-21 15:53:15,Good
8a858f6c570f2d660157238b0c4a1bdd,1990-07-03 00:00:00.000000,Other,7.0408905,5.7946838,Zenith Bank,Self-Employed,Graduate,7,17857.14285714286,20569.64285714286,23.571428571428573,3.7142857142857144,26.285714285714285,2017-07-06 10:37:09,Good
8a85893d542e18bc01542e37365c120a,1988-01-19 00:00:00.000000,Savings,3.3639265,7.1380483,Zenith Bank,Permanent,Graduate,6,21000.0,25283.333333333332,37.5,0.0,13.833333333333334,2017-07-25 14:53:49,Good
