customerid,bank_account_type,bank_name_clients,employment_status_clients,level_of_education_clients,loannumber,loanamount,totaldue,termdays,days_in_advance,due_day,approveddate,good_bad_flag,birth_year,age,age_category
8a858e135cb22031015cbafc76964ebd,Savings,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,1.0,5.0,2017-07-05 14:29:48,Good,1973,49,adults
8a858e275c7ea5ec015c82482d7c3996,Savings,Sterling Bank,Permanent,missing,1,10000.0,13000.0,30.0,-3.0,7.0,2017-07-10 21:21:46,Bad,1986,37,adults
8a858e5b5bd99460015bdc95cd485634,Savings,Fidelity Bank,Permanent,missing,3,10000.0,12000.0,20.0,-0.3333333333333333,15.0,2017-07-13 15:40:27,Good,1987,36,adults
8a858efd5ca70688015cabd1f1e94b55,Savings,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,-18.0,30.0,2017-07-26 21:03:17,Good,1991,32,youth
8a858ea05a859123015a8892914d15b7,Savings,Access Bank,Permanent,missing,5,14000.0,17600.0,30.0,3.2,26.0,2017-07-23 21:44:43,Good,1990,33,youth
8a858f405d13c45f015d13dd93ec0c1c,Savings,EcoBank,Permanent,missing,1,10000.0,13000.0,30.0,14.0,4.0,2017-07-28 10:13:02,Good,1992,30,youth
8a858f2a5ce989dd015ce9fc24b1474b,Savings,FCMB,Permanent,missing,1,10000.0,11500.0,15.0,6.0,12.0,2017-07-06 18:25:57,Bad,1994,28,youth
8a858f3a5c10828d015c109746d20aee,Savings,Skye Bank,Permanent,missing,1,10000.0,13000.0,30.0,15.0,16.0,2017-07-18 12:55:38,Good,1970,53,adults
8a858fb4563228d201564fd7519f22a8,Other,UBA,Student,Secondary,6,15000.0,17700.0,22.5,0.3333333333333333,22.5,2017-07-03 07:07:04,Good,1994,29,youth
8a858f955a61ad4e015a69ee1edd0d3d,Savings,GT Bank,Permanent,missing,4,12500.0,15125.0,22.5,1.75,12.25,2017-07-18 09:50:12,Good,1986,37,adults
8a858ff25a6a19ee015a6abff5ed659c,Savings,EcoBank,Permanent,missing,3,10000.0,13000.0,30.0,-3.3333333333333335,19.333333333333332,2017-07-14 10:26:41,Good,1988,34,youth
8a858e6c5c88d145015c894de1a91c5c,Savings,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,10.0,10.0,2017-07-01 09:55:54,Good,1988,35,adults
8a858eb45876dcc501587dae11f2283e,Savings,Access Bank,Permanent,missing,6,16666.666666666668,20058.333333333332,27.5,1.1666666666666667,17.166666666666668,2017-07-30 09:59:40,Bad,1989,34,youth
8a858f2f54e28d530154ecdd303004fa,Savings,Diamond Bank,Permanent,Graduate,2,10000.0,13000.0,30.0,13.0,25.5,2017-07-21 15:53:15,Good,1983,40,adults
8a858f6c570f2d660157238b0c4a1bdd,Other,Zenith Bank,Self-Employed,Graduate,7,17857.14285714286,20569.64285714286,23.571428571428573,3.7142857142857144,26.285714285714285,2017-07-06 10:37:09,Good,1990,33,youth
8a85893d542e18bc01542e37365c120a,Savings,Zenith Bank,Permanent,Graduate,6,21000.0,25283.333333333332,37.5,0.0,13.833333333333334,2017-07-25 14:53:49,Good,1988,35,adults
8a8588f35438fe12015444567666018e,Other,EcoBank,Permanent,missing,6,10000.0,11750.0,17.5,-0.8333333333333334,15.833333333333334,2017-07-06 14:52:57,Good,1984,38,adults
8a858f275c451af5015c49a2c43b5fb2,Savings,Sterling Bank,Permanent,missing,1,10000.0,13000.0,30.0,4.0,26.0,2017-07-16 16:54:48,Good,1985,37,adults
8a858e2155defefd0155e12953ee00a1,Other,First Bank,Permanent,Graduate,10,27000.0,31195.0,33.0,3.8,9.5,2017-07-06 22:37:12,Good,1989,34,youth
8a858e4b5a7f868b015a80f3822d505b,Savings,GT Bank,Permanent,missing,5,14000.0,17600.0,30.0,1.8,26.2,2017-07-25 21:21:47,Good,1987,36,adults
8a858f125c5f88b1015c603d2810428c,Savings,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,3.0,3.0,2017-07-06 07:21:58,Good,1984,39,adults
8a858ee75a6156c0015a635f394a5f79,Savings,Access Bank,Permanent,missing,6,15000.0,18550.0,30.0,6.666666666666667,16.166666666666668,2017-07-29 07:47:49,Good,1982,41,adults
8a858f445d41ebbe015d50c105334acc,Savings,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,22.0,16.0,2017-07-25 17:45:13,Good,1986,36,adults
8a858f285d3ca5c4015d3cbb1f94073a,Current,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,6.0,2.0,2017-07-28 15:19:09,Good,1977,46,adults
8a858f225bfdb280015c108bf6f53281,Savings,Union Bank,Permanent,missing,1,10000.0,13000.0,30.0,-2.0,25.0,2017-07-29 13:21:25,Good,1987,35,adults
8a858f7e564ad338015654d3a5c242a5,Other,GT Bank,Permanent,missing,7,14285.714285714286,17928.571428571428,30.0,7.714285714285714,11.142857142857142,2017-07-08 11:23:48,Good,1988,35,adults
8a858ea4582fcdc80158338316a258e3,Other,FCMB,Permanent,Graduate,9,17777.777777777777,21044.444444444445,26.666666666666668,1.8888888888888888,23.22222222222222,2017-07-24 04:30:55,Good,1979,43,adults
8a858f3c5c16cadb015c177e274650b9,Savings,Zenith Bank,Permanent,missing,1,10000.0,13000.0,30.0,6.0,24.0,2017-07-18 15:01:08,Good,1976,47,adults
8a858ec555f82a230155f92ff37d0b31,Other,Zenith Bank,Self-Employed,Post-Graduate,11,30454.545454545456,35570.454545454544,45.0,2.909090909090909,10.181818181818182,2017-07-14 15:05:09,Good,1983,40,adults
8a858f255cb1710a015cb56393f60d1b,Savings,Skye Bank,Permanent,missing,1,10000.0,13000.0,30.0,2.0,17.0,2017-07-24 07:46:33,Good,1973,50,adults
8a858f6f5b3f095b015b4083532532a0,Savings,Access Bank,Permanent,missing,1,10000.0,13000.0,30.0,8.0,13.0,2017-07-21 22:03:47,Good,1991,31,youth
8a858fa257d8223c0157e7e6ce253dd8,Other,Access Bank,Permanent,Graduate,2,10000.0,13000.0,30.0,-9.0,10.0,2017-07-24 17:05:34,Good,1988,34,youth
8a858f335cd0c78e015cd435d7192800,Savings,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,1.0,19.0,2017-07-18 21:32:19,Good,1981,42,adults
8a858953548fb0c001549b31ac5f6dda,Other,Stanbic IBTC,Unemployed,Graduate,12,17083.333333333332,20022.916666666668,28.75,7.0,15.333333333333334,2017-07-21 11:24:21,Good,1985,38,adults
8a858eba5b681df4015b7b63e6ed6a23,Savings,First Bank,Permanent,missing,3,10000.0,12500.0,25.0,-2.6666666666666665,2.6666666666666665,2017-07-22 19:14:11,Good,1988,35,adults
8a858ee55cb156e6015cb650b14467f0,Savings,First Bank,Student,missing,1,10000.0,13000.0,30.0,23.0,4.0,2017-07-17 15:57:51,Good,1995,28,youth
8a858f9157f7b9670157fa9d4e7546e0,Other,First Bank,Permanent,missing,1,10000.0,13000.0,30.0,0.0,25.0,2017-07-26 19:15:46,Good,1974,49,adults
8a85883353d0c4e90153dfca251168bc,Other,GT Bank,Self-Employed,missing,8,17500.0,20975.0,31.875,1.75,20.25,2017-07-23 19:04:53,Bad,1989,34,youth
8a858fa55acd8061015ad15eb8b47940,Savings,Zenith Bank,Permanent,missing,3,10000.0,13000.0,30.0,1.3333333333333333,18.666666666666668,2017-07-02 05:04:06,Good,1989,33,youth
8a8589a053acc39e0153b217f3d031cb,Other,Standard Chartered,Permanent,missing,8,13125.0,15496.875,24.375,3.75,12.625,2017-07-07 21:19:01,Good,1988,35,adults
8a858e2e5bb57a37015bbe3c1af53cac,Savings,GT Bank,Permanent,missing,2,10000.0,13000.0,30.0,2.0,2.5,2017-07-02 19:15:39,Good,1989,33,youth
8a8588c9548a33b201548b3cdb0f0c53,Savings,GT Bank,Permanent,Graduate,1,10000.0,13000.0,30.0,-13.0,7.0,2017-07-27 20:12:02,Bad,1989,34,youth
8a858e345bd96da8015bdcde39b37570,Savings,GT Bank,Permanent,missing,2,10000.0,13000.0,30.0,0.0,5.0,2017-07-05 06:54:33,Good,1983,40,adults
8a858e0f5c45466f015c4a6560255de7,Savings,Stanbic IBTC,Permanent,missing,2,10000.0,13000.0,30.0,3.5,25.0,2017-07-23 17:43:34,Good,1983,40,adults
8a858fe758dc437a0158e524adb32ae2,Savings,EcoBank,Permanent,missing,10,22000.0,24990.0,24.0,2.1,16.5,2017-07-20 11:02:19,Good,1990,33,youth
8a858e185b4923b4015b4ae48d28646a,Savings,GT Bank,Permanent,missing,3,10000.0,11500.0,15.0,-1.3333333333333333,23.666666666666668,2017-07-26 10:53:05,Good,1987,36,adults
8a858f725be8d4ff015bec5207ce5524,Savings,First Bank,Permanent,missing,2,10000.0,13000.0,30.0,0.0,25.0,2017-07-29 16:55:26,Bad,1985,37,adults
8a858e2c5cc64f70015cc942825e71ae,Savings,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,4.0,21.0,2017-07-18 08:31:33,Good,1985,37,adults
8a858fba5cd5feee015cdb7d7d574f0f,Savings,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,7.0,31.0,2017-07-24 21:03:20,Good,1973,49,adults
8a858fd85b685607015b75c2390b7173,Savings,First Bank,Permanent,missing,4,10000.0,12625.0,26.25,3.25,15.5,2017-07-26 22:24:15,Good,1987,35,adults
8a858fe8555f401f0155679de3f04eb4,Other,GT Bank,Permanent,missing,3,10000.0,13000.0,30.0,0.0,8.0,2017-07-11 05:53:18,Good,1987,36,adults
8a8589b953bc23f70153c887b4b45c9a,Other,GT Bank,Permanent,missing,12,18583.333333333332,21740.625,27.5,2.6666666666666665,13.416666666666666,2017-07-28 11:57:04,Good,1993,30,youth
8a858e935b496584015b496cdac50369,Savings,GT Bank,Permanent,missing,4,10000.0,11500.0,15.0,-4.25,15.75,2017-07-16 23:20:04,Bad,1990,33,youth
8a858e1d5b2510b2015b2c76fe45726a,Savings,First Bank,Permanent,missing,1,10000.0,13000.0,30.0,3.0,17.0,2017-07-15 06:33:49,Good,1966,57,adults
8a76e7d443e6e97c0143ed0a1f4d5331,Other,Access Bank,Permanent,Post-Graduate,4,10000.0,12812.5,30.0,5.0,15.75,2017-07-13 11:45:07,Good,1978,45,adults
8a8588bd5369b66d01536e7b60501609,Other,Zenith Bank,Permanent,Graduate,2,10000.0,13000.0,30.0,4.5,16.5,2017-07-06 21:02:56,Good,1979,44,adults
8a858f985b3db23f015b3ddf9cd73ed5,Savings,GT Bank,Permanent,missing,3,10000.0,13000.0,30.0,6.0,6.0,2017-07-01 22:40:21,Good,1983,40,adults
8a858eae5c356262015c35894b181c1b,Savings,Fidelity Bank,Permanent,missing,1,10000.0,13000.0,30.0,21.0,4.0,2017-07-14 12:16:44,Good,1985,38,adults
8a858e6d5b252065015b2fa1ee3843da,Savings,GT Bank,Permanent,missing,3,10000.0,11500.0,15.0,6.666666666666667,16.666666666666668,2017-07-09 10:26:22,Bad,1985,37,adults
8a858f6e5a951fc2015a9e8c2e4f4436,Savings,Access Bank,Permanent,missing,4,12500.0,15875.0,30.0,1.75,2.75,2017-07-04 06:21:27,Good,1975,48,adults
8a858e2d5bc95851015bc98eb8fc1575,Savings,GT Bank,Permanent,missing,3,10000.0,11500.0,15.0,-2.6666666666666665,18.0,2017-07-04 10:13:35,Bad,1986,37,adults
8a858f6057e2dba50157f3558ac902d4,Other,GT Bank,Student,Graduate,4,10000.0,13000.0,30.0,-0.5,20.0,2017-07-20 21:02:25,Good,1986,37,adults
8a858e885c63d379015c730aa5f46f8b,Savings,First Bank,Permanent,missing,1,10000.0,13000.0,30.0,5.0,4.0,2017-07-01 18:31:18,Good,1984,38,adults
8a858fd35b5dfefb015b5e18a7ee15aa,Savings,First Bank,Permanent,missing,5,14000.0,17000.0,24.0,7.6,22.0,2017-07-21 02:37:12,Good,1987,36,adults
8a858eea5c82f136015c82f59f3201c7,Savings,Diamond Bank,Permanent,missing,1,10000.0,11500.0,15.0,-13.0,23.0,2017-07-06 18:16:52,Bad,1990,33,youth
8a858f7e5c69a6e3015c74334d791005,Savings,GT Bank,Permanent,missing,1,10000.0,13000.0,30.0,3.0,4.0,2017-07-19 21:10:13,Good,1987,35,adults
8a858e6a5bfd4b54015c067c589f44c6,Savings,GT Bank,Permanent,missing,3,10000.0,12500.0,25.0,1.3333333333333333,23.666666666666668,2017-07-25 14:51:36,Good,1973,50,adults
8a858fa257d8223c0157e3c2a5e45d82,Other,GT Bank,Permanent,Graduate,5,14000.0,16560.0,21.0,-0.8,11.8,2017-07-11 17:07:53,Good,1991,31,youth
8a8588dc536a1413015375acd19d4154,Savings,GT Bank,Permanent,missing,2,10000.0,13000.0,30.0,3.0,5.0,2017-07-06 18:32:18,Bad,1990,33,youth
8a858e225c404292015c4f19fdfb148a,Savings,GT Bank,Permanent,missing,2,10000.0,12250.0,22.5,4.5,8.0,2017-07-05 21:33:23,Good,1983,40,adults
8a858e865bd4175e015bd85ed8ed6940,Savings,GT Bank,Permanent,missing,2,10000.0,13000.0,30.0,5.0,7.5,2017-07-04 12:49:34,Good,1992,31,youth
8a858f73594ab1ea01595e72de584bca,Savings,GT Bank,Permanent,missing,6,10000.0,12750.0,27.5,1.3333333333333333,15.333333333333334,2017-07-20 18:53:35,Good,1986,37,adults
8a858ff5562dc3b601562e96135108e3,Other,UBA,Self-Employed,missing,9,12222.222222222223,14944.444444444445,30.0,0.2222222222222222,16.11111111111111,2017-07-12 06:39:01,Good,1995,28,youth
8a858fdc57b91cfc0157d2d576b01016,Savings,GT Bank,Student,Graduate,1,30000.0,39000.0,60.0,0.0,10.0,2017-07-18 13:07:20,Bad,1992,30,youth
8a858ef45cd09b8c015cd4d82f22728d,Savings,Access Bank,Permanent,missing,1,10000.0,13000.0,30.0,-1.0,25.0,2017-07-27 06:39:58,Good,1995,28,youth
8a858f725b49c0c0015b4de5320b0e90,Savings,GT Bank,Unemployed,missing,1,10000.0,13000.0,30.0,3.0,8.0,2017-07-25 17:22:09,Bad,1985,37,adults
8a858e205af28299015af2acd2ff06a6,Current,GT Bank,Permanent,missing,2,10000.0,11500.0,15.0,4.5,4.5,2017-07-21 10:38:57,Good,1987,36,adults
8a858ed457a040d30157b40881a25091,Other,GT Bank,Permanent,Post-Graduate,7,14285.714285714286,17728.571428571428,30.0,6.0,9.285714285714286,2017-07-04 09:55:59,Good,1992,31,youth
8a858f2a5b3f2121015b42331f955db2,Savings,GT Bank,Permanent,missing,1,10000.0,11500.0,15.0,1.0,30.0,2017-07-11 12:55:21,Good,1991,32,youth
8a858e285ba4bf33015ba50277171d93,Current,Stanbic IBTC,Permanent,missing,4,12500.0,15125.0,22.5,6.25,9.5,2017-07-14 12:22:54,Good,1986,37,adults
8a858e225c404292015c4bc05b45616d,Savings,First Bank,Permanent,missing,2,10000.0,12250.0,22.5,1.5,27.0,2017-07-25 15:06:03,Good,1979,44,adults
8a858ee755a0c84a0155b50a08352311,Other,GT Bank,Permanent,missing,9,17777.777777777777,21455.555555555555,31.666666666666668,0.2222222222222222,9.333333333333334,2017-07-05 13:22:39,Good,1978,45,adults
8a8588f754a058cb0154b922d7fe1ffd,Other,UBA,Permanent,Graduate,10,28000.0,33680.0,45.0,-1.7,15.6,2017-07-14 13:44:33,Bad,1983,40,adults
8a858f305c8dd672015c92b0711a3333,Savings,Zenith Bank,Permanent,missing,1,10000.0,11500.0,15.0,7.0,3.0,2017-07-15 10:42:38,Good,1989,33,youth
8a858f7e5c886ca9015c89471cef5b44,Savings,UBA,Permanent,missing,1,10000.0,13000.0,30.0,0.0,10.0,2017-07-10 08:10:13,Good,1989,33,youth
8a858f5d5963fbb701597473936c208a,Savings,GT Bank,Permanent,missing,5,14000.0,17600.0,30.0,1.6,11.2,2017-07-10 21:13:58,Good,1985,38,adults
8a858fd85b685607015b70cf46b509b2,Savings,First Bank,Permanent,missing,4,12500.0,15875.0,30.0,6.5,16.5,2017-07-28 08:28:08,Good,1976,46,adults
8a858fa154e2912f01551033886c784b,Savings,GT Bank,Permanent,Graduate,4,9500.0,11600.0,22.5,8.25,15.0,2017-07-20 08:01:05,Good,1989,34,youth
8a858e5357d823010157ddcb238e0d02,Other,Sterling Bank,Permanent,Graduate,3,10000.0,13000.0,30.0,-0.6666666666666666,17.666666666666668,2017-07-11 06:16:21,Bad,1990,32,youth
8a8588fd53f1099e01540ec7527b308c,Savings,Diamond Bank,Permanent,Graduate,14,24285.714285714286,28442.85714285714,32.142857142857146,1.2142857142857142,15.785714285714286,2017-07-26 01:45:33,Bad,1980,42,adults
8a858eba5c884d2a015c8bea59385157,Savings,Heritage Bank,Permanent,missing,2,10000.0,12250.0,22.5,11.0,8.5,2017-07-05 16:38:39,Good,1983,40,adults
8a858f11594a388001595ad3f6c06395,Savings,EcoBank,Permanent,missing,6,10000.0,12841.666666666666,30.0,0.8333333333333334,7.166666666666667,2017-07-03 16:01:47,Good,1993,30,youth
8a8588dd54a3ead30154ada314c44e09,Other,GT Bank,Permanent,Post-Graduate,6,18333.333333333332,21333.333333333332,22.5,5.333333333333333,25.0,2017-07-25 09:33:43,Good,1980,43,adults
8a85886f54517ee0015470749d3c3ce7,Other,GT Bank,Self-Employed,Graduate,21,30476.190476190477,33879.76190476191,25.0,5.857142857142857,15.047619047619047,2017-07-15 20:48:14,Good,1985,38,adults
8a858e5856b7840c0156c2db475368e4,Other,Diamond Bank,Student,missing,4,11250.0,14343.75,30.0,12.5,22.5,2017-07-25 17:01:26,Good,1994,28,youth
8a858eda552adcc2015553a6385628e7,Savings,Fidelity Bank,Permanent,missing,4,10000.0,13000.0,30.0,6.75,10.0,2017-07-05 08:01:14,Good,1987,36,adults
8a858e885c63d379015c682355b72343,Savings,GT Bank,Permanent,Graduate,1,10000.0,13000.0,30.0,12.0,13.0,2017-07-01 22:31:57,Good,1981,42,adults
8a858f955cc6631f015ccabe708129ed,Savings,Access Bank,Permanent,missing,1,10000.0,13000.0,30.0,18.0,24.0,2017-07-06 20:12:28,Bad,1992,31,youth
